,Unnamed: 0,file,internet,leur,present,75015,inform,abon,cook,societ,donne,boissieu,san,lien,suiv,fair,ordin,legal,client,tous,etre,lor,ver,cet,ains,titr,public,permet,engag,reserv,respect,propriet,not,general,realis,objet,navig,offre
10,10,0010.txt,0.1481481481481481,0.1481481481481481,0.1111111111111111,0.1111111111111111,0.1851851851851851,0.1481481481481481,0.1111111111111111,0.1481481481481481,0.1851851851851851,0.1481481481481481,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
11,11,0011.txt,0.1428571428571428,0.1785714285714285,0.1071428571428571,0.1428571428571428,0.1785714285714285,0.0,0.0,0.1428571428571428,0.1785714285714285,0.1071428571428571,0.0,0.1071428571428571,0.1428571428571428,0.1071428571428571,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0012.txt,0.0833333333333333,0.1666666666666666,0.125,0.1666666666666666,0.2083333333333333,0.125,0.1666666666666666,0.125,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.0,0.125,0.0833333333333333,0.125,0.0833333333333333,0.0833333333333333,0.125,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.125,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.125,0.125,0.125,0.0833333333333333,0.0,0.0
13,13,0013.txt,0.1923076923076923,0.1153846153846153,0.1923076923076923,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1923076923076923,0.0769230769230769,0.1538461538461538,0.1153846153846153,0.1538461538461538,0.0769230769230769,0.1153846153846153,0.0769230769230769,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.0,0.1153846153846153,0.0769230769230769,0.1153846153846153,0.0,0.0769230769230769,0.1153846153846153,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1153846153846153
14,14,0014.txt,0.1428571428571428,0.1428571428571428,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.0,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.1071428571428571,0.1071428571428571,0.0,0.1071428571428571,0.1428571428571428,0.0,0.1071428571428571,0.1071428571428571,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.1071428571428571,0.0,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571
15,15,0015.txt,0.1481481481481481,0.1851851851851851,0.1111111111111111,0.1481481481481481,0.1851851851851851,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1481481481481481,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
16,16,0016.txt,0.15,0.1,0.2,0.2,0.25,0.1,0.2,0.25,0.15,0.1,0.1,0.1,0.15,0.1,0.0,0.1,0.15,0.15,0.0,0.1,0.0,0.1,0.1,0.0,0.15,0.1,0.1,0.15,0.15,0.0,0.1,0.1,0.15,0.0,0.1,0.15
17,17,0017.txt,0.0,0.1481481481481481,0.1111111111111111,0.1481481481481481,0.1111111111111111,0.1111111111111111,0.0,0.1481481481481481,0.1111111111111111,0.1481481481481481,0.1111111111111111,0.1481481481481481,0.1111111111111111,0.1481481481481481,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111
18,18,0018.txt,0.0,0.0769230769230769,0.1923076923076923,0.1153846153846153,0.1923076923076923,0.1538461538461538,0.1153846153846153,0.0,0.1538461538461538,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.1538461538461538,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.1153846153846153,0.0,0.0,0.0769230769230769
19,19,0019.txt,0.16,0.2,0.12,0.12,0.0,0.08,0.12,0.08,0.08,0.0,0.16,0.12,0.12,0.12,0.12,0.12,0.08,0.12,0.08,0.0,0.08,0.08,0.0,0.0,0.12,0.0,0.0,0.08,0.08,0.12,0.12,0.0,0.08,0.08,0.08,0.08
20,20,0020.txt,0.1111111111111111,0.1481481481481481,0.0,0.1481481481481481,0.0,0.1481481481481481,0.1851851851851851,0.0,0.1481481481481481,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0
21,21,0021.txt,0.1304347826086956,0.0869565217391304,0.1304347826086956,0.1739130434782608,0.0,0.1304347826086956,0.1304347826086956,0.1739130434782608,0.0,0.1739130434782608,0.1304347826086956,0.0869565217391304,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0,0.0,0.1304347826086956,0.0869565217391304,0.0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.1304347826086956,0.0869565217391304,0.0869565217391304,0.1304347826086956,0.0869565217391304,0.0,0.0869565217391304,0.0,0.0,0.0869565217391304,0.0869565217391304,0.0,0.1304347826086956
22,22,0022.txt,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.1923076923076923,0.0769230769230769,0.1923076923076923,0.1538461538461538,0.1153846153846153,0.1538461538461538,0.1538461538461538,0.1153846153846153,0.1923076923076923,0.1538461538461538,0.1153846153846153,0.0,0.0,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.0,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769
23,23,0023.txt,0.1785714285714285,0.1785714285714285,0.1428571428571428,0.1428571428571428,0.1071428571428571,0.0,0.1071428571428571,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1071428571428571,0.0,0.0,0.1071428571428571,0.0,0.0,0.1071428571428571,0.0,0.0,0.1071428571428571,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0
