,word,freq
0,contrat,93.07441482665278
1,sumã,78.71280737656743
2,mention,287.85081617293406
3,legal,192.03376164258336
4,inform,272.00240197991775
5,societ,249.99448651975018
6,sieg,61.886047264830765
7,social,53.13569386828323
8,75015,273.7992494826478
9,paris,402.4222359153636
10,telephon,44.3568672182726
11,"3.423.265.598,40",17.771019351417777
12,directeur,37.137834356905465
13,sfr.fr,49.993821985211966
14,condit,406.5109337772744
15,sit,1999.9333333333334
16,suiv,221.34010886967963
17,adress,307.3650497693542
18,ordin,194.5031001577023
19,cook,253.29533014905388
20,connexion,40.57400453175994
21,apre,61.52335403846276
22,internaut,896.126490985749
23,permet,126.20337952406746
24,enregistr,33.603768937647516
25,relat,44.76550437993237
26,mem,63.834533219431975
27,group,54.374792384893574
28,not,101.51526304654077
29,servic,560.7088690923778
30,quelconqu,36.76508986093243
31,acce,344.51272714183
32,reserv,118.86613604526858
33,usag,62.24114311601898
34,personnel,339.08452546712516
35,droit,390.202752194778
36,san,229.32476835651644
37,ains,139.24803552204997
38,etre,153.07743257802952
39,utilis,791.0162643238478
40,present,277.0343318517508
41,fair,220.26555142464798
42,disposit,32.756903890593335
43,tout,442.47213236217203
44,autoris,93.42881868640582
45,contenus,389.61794724846766
46,text,54.44043622946527
47,etc.,61.87928646569215
48,engag,126.11980253441516
49,franã§ais,91.79898278254042
50,objet,99.84723233258988
51,lien,227.41228734755578
52,ver,148.6240476533542
53,autr,55.569827587796624
54,aucun,58.5148935223706
55,leur,279.8986718634176
56,donne,248.93028202459897
57,vigueur,48.27005197402035
58,trait,46.388629121510455
59,cadr,60.69913843496391
60,voir,60.205643712115986
61,general,100.64486692992044
62,exerc,49.708851393517705
63,peut,543.8474966262166
64,prenom,54.02840639946668
65,cop,61.43919752709603
66,piec,62.8937568634537
67,client,158.64822227670453
68,afin,65.32937086044068
69,internet,282.60993139192726
70,titr,137.16739571043618
71,direct,41.293381253436436
72,abon,256.98763687164234
73,cet,142.10982535095934
74,propriet,102.93580275372513
75,franã§,49.11630236188193
76,offre,93.5666618102066
77,public,131.4596049657159
78,lor,152.25845600743148
79,devr,27.416631927247632
80,radiotelephon,25.198019182250487
81,capital,53.051203968479044
82,hebergeur,44.756439230218355
83,boissieu,234.77826598596837
84,definit,38.128481434585176
85,identifi,81.43221432210962
86,pag,67.2390819180673
87,tous,155.5709742056553
88,ensembl,44.71434673296976
89,strict,33.85978082894344
90,prealabl,42.3040974149764
91,susceptibl,31.05810548883356
92,moment,90.05757675368477
93,specif,80.47120338144573
94,personnalis,66.86745655072559
95,atteint,45.76126967654035
96,crim,56.858324237345904
97,navig,94.3250882719285
98,pour,63.995279837869425
99,identit,44.02856679507512
100,echang,48.83196947464093
101,realis,100.2504431519135
102,coch,59.18094312068363
103,cas,63.17284020518167
104,mobil,9.538335792473628
105,sport,10.142393873158438
106,anonym,51.60152963352607
107,fichi,49.6899555071693
108,part,68.85257992994804
109,respect,112.08597551303816
110,applic,87.42513131208412
111,tier,58.678374304052646
112,conform,30.754408502686037
113,collect,43.4159216462932
114,concern,38.27568051397901
115,rest,54.53639154297817
116,mont,0.88965411400194
117,francais,41.301054510766456
118,propos,48.57263843700322
119,transmis,37.123394650472925
120,intern,2.631433847955587
121,preferent,34.900161485214525
122,port,62.76966474776516
123,souscript,30.088874532909244
124,necessair,40.14962779312487
125,samsung,9.365474560586957
126,identif,1.661348879504755
127,legisl,33.778384930156236
128,iniernaut,0.08333333333333333
129,regl,0.5020745920745922
130,uit,0.18333333333333335
131,par;l,0.08
132,internaot,0.08695652173913043
133,serviceg,0.07692307692307693
134,contr,3.611039250604469
135,person,7.242095489314772
136,sitef,0.18695652173913044
137,sut,0.17424242424242425
138,ervic,0.7776276050417927
139,tion,2.1979142748936806
140,ite,0.5547436773752563
141,szte,0.19617224880382775
142,sitj,0.18526315789473685
143,soum,0.7645322793148881
144,quel,1.2483238653032704
145,sio,0.17391304347826086
146,avis,0.33116550116550114
147,tit,0.16333333333333333
148,comm,2.373370011630881
149,boiss,0.48808857808857814
150,dispos,2.3927525373177554
151,motr,0.08
152,servec,0.11764705882352941
153,spte,0.09090909090909091
154,publ,0.3815266574857368
155,perso,0.16025641025641024
156,propr,2.6072885085928568
157,sitg,0.2511655011655012
158,per#onnel,0.08333333333333333
159,in;ernaut,0.19806763285024154
160,element,0.16666666666666666
161,interlaut,0.08333333333333333
162,ique,0.08333333333333333
163,video,1.2026921586512378
164,in&ernaut,0.07692307692307693
165,font,1.2839029086855172
166,ident,0.16387959866220736
167,internaux,0.17857142857142855
168,dit,0.26515151515151514
169,legr,0.08333333333333333
170,util,1.3659999573271882
171,sation,0.34119894598155465
172,ation,0.688598213380822
173,ces.sit,0.09090909090909091
174,smte,0.17028985507246375
175,sag,0.13636363636363635
